latitude,longitude,cas_pozorovani_utc,misto_pozorovani,kdo_pocitil,popis_intenzity_kategorie,strach_panika,pohyb_predmetu,poskozeni_budov,zvuk_reportovan,ems98_odhad
49.4258576,13.8903894,2025-04-24 17:31:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.577103,13.8784644,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.5444385,14.3477023,2025-04-24 17:36:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.5428257,14.1990036,2025-04-24 17:34:00+00:00,Doma,Většina,silné otřsx,Ano,Ano,Ne,Ano,V - Silné
49.4049014,13.7173627,2025-04-24 17:31:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.47031,14.0726646,2025-04-24 17:33:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Nezadáno,Ano,Neklasifikováno
49.3258684,14.3564749,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.6111191,14.0145093,2025-04-24 17:35:00+00:00,Doma,Jen respondent,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.6418889,14.1100631,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4331985,13.8809945,2025-04-24 17:41:00+00:00,Doma,Většina,nan,Ano,Ne,Ne,Ano,Neklasifikováno
49.5082553,13.9923708,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.0794038,13.8548889,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.2989568,13.4390062,2025-04-24 17:30:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.3607273,14.1388445,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.2989568,13.4390062,2025-04-24 17:30:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.6045703,14.1930553,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3258684,14.3564749,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.3824399,14.1278257,2025-04-24 17:40:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.5176051,14.2780991,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.5160574,14.2796061,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.795672,14.2501299,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3251473,14.3553834,2025-04-24 17:31:00+00:00,Doma,Většina,nan,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.303454,14.158029,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.6294386,14.050518,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.4893655,13.9528057,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.3878952,13.6254022,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.3170885,14.1076241,2025-04-24 17:36:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.5473882,13.8839612,2025-04-24 17:40:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.5859041,13.5325951,2025-04-24 17:36:00+00:00,Doma,Jen respondent,nan,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.3655715,14.2116965,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6804041,14.2163739,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.685432,13.9989449,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6059571,14.4390685,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3482647,14.5852938,2025-04-24 17:35:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.5133948,14.0432425,2025-04-24 17:32:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ne,III - Slabé
49.2466347,13.9192159,2025-04-24 17:30:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ano,V - Silné
49.3139752,14.1565458,2025-04-24 17:33:00+00:00,Doma,Jen respondent,silné otřsx,Ano,Ano,Ne,Ano,Neklasifikováno
49.3157014,14.14835,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ano,Ano,Ne,Ne,V - Silné
49.4035438,13.2868258,2025-04-24 17:35:00+00:00,Doma,Jen respondent,slabé zachvění,Ano,Ne,Ne,Ne,III - Slabé
49.2998878,14.1467331,2025-04-24 17:30:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.5536874,14.1090385,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.484335,14.5241944,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.4473227,14.3552239,2025-04-24 17:42:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3010178,14.1326144,2025-04-24 17:35:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.5273253,14.3392403,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
48.9361849,14.4038336,2025-04-24 17:35:00+00:00,Doma,Nezadáno,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.5576388,13.9506344,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6390235,14.2534486,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.8510967,14.4054338,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
